AHPS NAME,PROXIMITY,RIVER WATERBODY NAME,NWSLI,LOCATION TYPE,USGS ID,LATITUDE,LONGITUDE,WFO,RFC,STATE,HUC2,INUNDATION,ELEVATION,ACTION STAGE,FLOOD STAGE,MODERATE FLOOD STAGE,MAJOR FLOOD STAGE,FLOOD STAGE UNIT,COEID,HYDROGRAPH,PEDTS,IN SERVICE,LOW WATER THRESHOLD VALUE / UNITS,FORECAST STATUS,DISPLAY LOW WATER IMPACTS,LOW FLOW DISPLAY,GIVE DATA ATTRIBUTION,ATTRIBUTION WORDING,FEMA WMS,PROBABILISTIC SITE,WEEKLY CHANCE PROBABILISTIC ENABLED,SHORT-TERM PROBABILISTIC ENABLED,CHANCE OF EXCEEDING PROBABILISTIC ENABLED,NRLDB VERTICAL DATUM NAME,NRLDB VERTICAL DATUM,NAVD88 VERTICAL DATUM,NGVD29 VERTICAL DATUM,MSL VERTICAL DATUM,OTHER VERTICAL DATUM,COUNTY,TIME ZONE
Horse Thief Reservoir,above,Buckner Creek,HTAK1,River Stage/Flow Location,US07140880,38.049167,-100.082222,DDC,ABRFC,KS,Arkansas-White-Red Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ddc&gage=htak1,HGIRG,Yes,-9999 Feet,No routine,No,Yes,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,2417.65,2417.65,,,,Hodgeman,America/Chicago
Henrietta,near,Little Wichita River,HTAT2,River Stage/Flow Location,US07314900,33.826767,-98.240046,OUN,ABRFC,TX,Arkansas-White-Red Region,No,831.57,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=oun&gage=htat2,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NAVD88,831.67,831.67,831.57,,,Clay,America/Chicago
Horse Thief Reservoir,below,Buckner Creek,HTBK1,River Stage/Flow Location,US07140890,38.060278,-100.045278,DDC,ABRFC,KS,Arkansas-White-Red Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ddc&gage=htbk1,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,2366.19,2366.19,,,,Hodgeman,America/Chicago
Helton Branch,,,HTBK2,Precipitation Location,,36.878056,-83.939722,JKL,OHRFC,KY,Ohio Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=jkl&gage=htbk2,,Yes,,,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Knox,America/New_York
Hobart,near,Town Brook,HTBN6,River Stage/Flow Location,US01421618,42.361111,-74.6625,BGM,MARFC,NY,Mid Atlantic Region,No,,0,7,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=bgm&gage=htbn6,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,1658.43,1658.43,,,,Delaware,America/New_York
Hutchinson,above,Cow Creek,HTCK1,River Stage/Flow Location,US07143310,38.144167,-98.0075,ICT,ABRFC,KS,Arkansas-White-Red Region,No,1562.411,7.5,9.5,10.5,12.5,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ict&gage=htck1,HGIRG,Yes,-9999 Feet,High Water,No,No,No,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,1561.77,1561.77 ft,1562.411,,,Reno,America/Chicago
Halstead,near,Little Arkansas River,HTDK1,River Stage/Flow Location,US07143672,38.028531,-97.540542,ICT,ABRFC,KS,Arkansas-White-Red Region,No,1370.55 ft,24,25,27,29,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ict&gage=htdk1,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,1371.04,1371.04 ft,1370.55 ft,,1370.55 ft,Harvey,America/Chicago
Huntley Diversion Dam,at,Yellowstone River,HTDM8,River Stage/Flow Location,,45.904167,-108.316944,BYZ,MBRFC,MT,Missouri Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=byz&gage=htdm8,HGIRG,No,-9999 Feet,Data Point,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,,,,,,,Yellowstone,America/Denver
Hatfield,at,Big Creek,HTFK2,Stage/Flow and Precipitation Location,,37.663889,-82.377778,JKL,OHRFC,KY,Ohio Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=jkl&gage=htfk2,HGIRR,Yes,-9999 Feet,Data Point,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,NGVD29,,,,,,Pike,America/New_York
Hertford,at,Perquimans River,HTFN7,River Stage/Flow Location,,36.194100,-76.4663,AKQ,SERFC,NC,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=akq&gage=htfn7,HGIRR,No,-9999 Feet,Data Point,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,-2,,,,,Perquimans,America/New_York
Hartford,near,Skunk Creek,HTFS2,River Stage/Flow Location,US06481493,43.636111,-96.9,FSD,MBRFC,SD,Missouri Region,No,,9,10,11,16,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=fsd&gage=htfs2,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,1471.85,1471.83,,,,Minnehaha,America/Chicago
High Gate,near,Bourbeuse River,HTGM7,River Stage/Flow Location,US07015720,38.146940,-91.58089,SGF,NCRFC,MO,Upper Mississippi Region,No,802.10,15,17,20,28,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=sgf&gage=htgm7,HGIRG,Yes,3 Feet,No routine,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,802.25,,802.10,,,Phelps,America/Chicago
Hermitage,near,Cumberland River,HTGT1,River Stage/Flow Location,US03430250,36.191667,-86.665278,OHX,OHRFC,TN,Ohio Region,No,,42,48,52,56,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ohx&gage=htgt1,HGIRZ,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,,366.57,,,,,,America/Chicago
Huntsman Lake,at,Middle Run,HTLV2,Stage/Flow and Precipitation Location,,38.754444,-77.255278,LWX,MARFC,VA,Mid Atlantic Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=htlv2,HPIRR,Yes,-9999 Feet,Data Point,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,,,,,,,Fairfax,America/New_York
Largo / Harry S Truman Dr,near,Southwest Branch,HTNM2,Stage/Flow and Precipitation Location,,38.876111,-76.826667,LWX,MARFC,MD,Mid Atlantic Region,No,,7,11,13,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=htnm2,HGIRR,Yes,-9999 Feet,Data Point,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Prince George's,America/New_York
Horton,at,Little Osage River,HTNM7,River Stage/Flow Location,US06917060,37.994720,-94.36944,SGF,MBRFC,MO,Missouri Region,No,700 ft,39,41,45,50,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=sgf&gage=htnm7,HGIRG,Yes,26 Feet,High Water,No,Yes,Yes,US Geological Survey,No,Yes,Yes,Yes,Yes,NAVD88,700.17,,700 ft,,,Vernon,America/Chicago
Horse Thief Reservoir,at,Buckner Creek,HTRK1,River Stage/Flow Location,US07140885,38.060000,-100.049167,DDC,ABRFC,KS,Arkansas-White-Red Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ddc&gage=htrk1,HPIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,2428.37,2428.37,,,,Hodgeman,America/Chicago
Holter Dam near Wolf Creek,below,Missouri River,HTRM8,River Stage/Flow Location,US06066500,46.994722,-112.010278,TFX,MBRFC,MT,Missouri Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tfx&gage=htrm8,HGIRG,Yes,0 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NGVD29,3464.11,,,,3464.11 ft,Lewis and Clark,America/Denver
Hot Sulphur Springs,above,Colorado River,HTSC2,River Stage/Flow Location,,40.083300,-106.0875,BOU,CBRFC,CO,Upper Colorado Region,No,7670,4.5,7,8,10,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=bou&gage=htsc2,HGIRZ,Yes,-9999 Feet,Year-round,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,NGVD29,7670,,7670,,,Grand,America/Denver
Hot Springs,,,HTSN7,Precipitation Location,,35.895360,-82.8313,GSP,LMRFC,NC,Tennessee Region,No,,13,15,17,24,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=gsp&gage=htsn7,,No,-9999 Feet,No routine,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,1302.267,,,,,Madison,America/New_York
Hartsville,above,Black Creek (SC),HTSS1,River Stage/Flow Location,US02130910,34.397222,-80.15,ILM,SERFC,SC,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ilm&gage=htss1,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,,176.63,,,,177.48 ft,,America/New_York
Hallettsville,at,Lavaca River,HTST2,River Stage/Flow Location,US08163500,29.443100,-96.9447,HGX,WGRFC,TX,Texas-Gulf Region,No,,20,27,28,29,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=hgx&gage=htst2,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,Lavaca-Navidad River Authority,Yes,Yes,Yes,Yes,Yes,NGVD 1929,186.72,,,,NULL,Lavaca,America/Chicago
Harper Tavern,at,Swatara Creek,HTVP1,River Stage/Flow Location,US01573000,40.402500,-76.5775,CTP,MARFC,PA,Mid Atlantic Region,Yes,356.68,7,9,12,15,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ctp&gage=htvp1,HGIRG,Yes,0 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD29,356.68,,356.68,,,,America/New_York
Henrietta,near,East Fork Little Wichita River,HTWT2,River Stage/Flow Location,US07315200,33.812878,-98.085041,OUN,ABRFC,TX,Arkansas-White-Red Region,No,825.32,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=oun&gage=htwt2,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NGVD29,825.32,,825.32,,,Clay,America/Chicago
Hulen,near,Beaver Creek (OK),HUBO2,River Stage/Flow Location,US07312920,34.478056,-98.1775,OUN,ABRFC,OK,Arkansas-White-Red Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=oun&gage=hubo2,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,982.82,982.82,,,,Cotton,America/Chicago
Hudson,at,Black Hawk Creek (Northeast IA),HUDI4,Stage/Flow and Precipitation Location,US05463500,42.407764,-92.463247,DMX,NCRFC,IA,Upper Mississippi Region,No,,13,14,15,19,FT,MVR,https://water.weather.gov/ahps2/hydrograph.php?wfo=dmx&gage=hudi4,HGIRV,Yes,-9999 Feet,High Water,Yes,Yes,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,864.96,864.96 ft,,,,Black Hawk,America/Chicago
Terre Haute Legacy Site,at,Wabash River,HUFI3,River Stage/Flow Location,US03341499,39.475442,-87.419081,IND,OHRFC,IN,Ohio Region,Yes,445.78 ft,9,14,22,28,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ind&gage=hufi3,HGIRZ,Yes,-9999 KCFS,Data Point,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,NGVD 1929,445.78,,445.78 ft,,,Vigo,America/New_York
Hughes,near,St. Francis River,HUGA4,River Stage/Flow Location,,34.960556,-90.583333,MEG,LMRFC,AR,Lower Mississippi Region,No,150.0,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=meg&gage=huga4,HGIRG,Yes,,Data Point,No,No,Yes,US Army Corps of Engineers,No,No,N/A,N/A,N/A,,0,,150.0,,,,America/Chicago
Huger,above,Turkey Creek,HUGS1,River Stage/Flow Location,US02172035,33.131558,-79.783689,CHS,SERFC,SC,South Atlantic-Gulf Region,No,4.429,9,11,13,17,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=chs&gage=hugs1,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,3.42,3.42,4.429,,,Berkeley,America/New_York
Hughesville,at,Muncy Creek,HUHP1,Stage/Flow and Precipitation Location,,41.238333,-76.718056,CTP,MARFC,PA,Mid Atlantic Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ctp&gage=huhp1,HGIRP,Yes,0 Feet,No routine,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,,,,,,,Lycoming,America/New_York
RCD Vineyard,at,Huichica Creek,HUIC1,River Stage/Flow Location,,38.220833,-122.353611,MTR,CNRFC,CA,California Region,No,,8,9.5,11,13,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=huic1,HGIRR,Yes,-9999 Feet,No routine,No,No,Yes,Napa County,No,No,N/A,N/A,N/A,,,,,,,Napa,America/Los_Angeles
Huntingdon,at,Juniata River,HUJP1,River Stage/Flow Location,US01559000,40.484722,-78.019167,CTP,MARFC,PA,Mid Atlantic Region,No,599.69,9,12,13,15,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ctp&gage=hujp1,HGIRG,Yes,0 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD29,599.69,,599.69,,,,America/New_York
Huck,,,HUKW2,Precipitation Location,,39.100000,-79.051389,LWX,MARFC,WV,Mid Atlantic Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=hukw2,,Yes,,,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Grant,America/New_York
Kaktovik,near,Hulahula River,HULA2,River Stage/Flow Location,US15980000,69.711389,-144.19,PAFG3,APRFC,AK,Alaska Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pafg3&gage=hula2,HGIRZ,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NGVD29,675,,,,,,America/Anchorage
Hulah Lake,at,Eastern Oklahoma Lakes,HULO2,River Stage/Flow Location,US07172500,36.928889,-96.088333,TSA,ABRFC,OK,Arkansas-White-Red Region,No,,0,765,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tsa&gage=hulo2,HPIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Army Corps of Engineers,Yes,No,N/A,N/A,N/A,,0,,,,,,America/Chicago
Humboldt,at,Middle Branch Escanaba River,HUMM4,River Stage/Flow Location,US04057800,46.499167,-87.886389,MQT,NCRFC,MI,Great Lakes Region,No,,6,6.5,8,9,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mqt&gage=humm4,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,1521.38,1521.38 ft,,,,Marquette,America/New_York
Humboldt 2W,near,Middle Fork Forked Deer River,HUMT1,River Stage/Flow Location,,35.831667,-88.96,MEG,LMRFC,TN,Lower Mississippi Region,No,299.76,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=meg&gage=humt1,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,US Army Corps of Engineers,No,No,N/A,N/A,N/A,,299.76,,299.76,,,Gibson,America/Chicago
J.E. Roush Lake Dam Near Huntington (IN),at,Northern Indiana Lakes,HUNI3,River Stage/Flow Location,US03323450,40.846111,-85.468611,IWX,OHRFC,IN,Ohio Region,No,0,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=iwx&gage=huni3,HPIRG,Yes,715 Feet,Year-round,Yes,No,Yes,the USGS (03323450),Yes,No,N/A,N/A,N/A,NAVD88,0,,0,,,Huntington,America/New_York
Huntsville,at,Pequest River,HUNN4,River Stage/Flow Location,US01445000,40.980833,-74.776389,PHI,MARFC,NJ,Mid Atlantic Region,No,553.81,3.5,4,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=phi&gage=hunn4,HGIRG,Yes,-9999 Feet,Data Point,Yes,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,,553.81,,553.81,,,Sussex,America/New_York
E Houstonville Rd. 3 NNE Harmony,below,Hunting Creek,HUNN7,River Stage/Flow Location,US02118500,36.000556,-80.745556,GSP,SERFC,NC,South Atlantic-Gulf Region,No,,16,18,23,27,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=gsp&gage=hunn7,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NGVD29,734.78,,,,,Iredell,America/New_York
Dial,near,Toccoa River,HURG1,River Stage/Flow Location,US03558000,34.790000,-84.24,FFC,LMRFC,GA,Tennessee Region,No,,9,12,15,17,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=hurg1,HGIRG,Yes,0.114 KCFS,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NGVD29,1782.08,,,,1790 ft,Fannin,America/New_York
Huron,at,James River,HURS2,River Stage/Flow Location,US06476000,44.363611,-98.198889,FSD,MBRFC,SD,Missouri Region,No,,10,11,13,15,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=fsd&gage=hurs2,HGIRP,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,1224.32,1224.32,,,,Beadle,America/Chicago
Hurricane,near,Virgin River,HURU1,River Stage/Flow Location,US09408150,37.162760,-113.395229,SLC,CBRFC,UT,Lower Colorado Region,No,,18,19.6,20.2,22.1,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=slc&gage=huru1,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NAVD88,2739.42,2739.42,,,,Washington,America/Denver
Hurricane,near,Hurricane Creek,HURW2,River Stage/Flow Location,US03201405,38.445278,-82.006944,RLX,OHRFC,WV,Ohio Region,No,,14,17,19,20,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rlx&gage=hurw2,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,599.19,599.19,,,,Putnam,America/New_York
Huslia,at,Koyukuk River,HUSA2,River Stage/Flow Location,,65.699444,-156.396944,PAFG2,APRFC,AK,Alaska Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pafg2&gage=husa2,HGIRV,No,-9999 Feet,Data Point,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,NULL,,America/Anchorage
Houston,near,Fourche LaFave River,HUSA4,River Stage/Flow Location,US07263115,35.012222,-92.723333,LZK,ABRFC,AR,Arkansas-White-Red Region,No,240.26 ft,24.5,25,32,35,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lzk&gage=husa4,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD 1929,240.26,,240.26 ft,,,,America/Chicago
Heeia,near,Haiku Stream,HUSH1,River Stage/Flow Location,US16275000,21.409167,-157.823333,HNL,APRFC,HI,Hawaii Region,No,,0,3.5,0,7.9,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=hnl&gage=hush1,HGIRG,Yes,,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,,Pacific/Honolulu
Hutsonville,near,Wabash River,HUTI2,River Stage/Flow Location,US03341910,39.134167,-87.658056,IND,OHRFC,IL,Ohio Region,No,420 ft,12,16,24,28,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ind&gage=huti2,HGIRZ,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD29,420,,420 ft,,,Crawford,America/Chicago
Huntersland,,,HUTN6,Precipitation Location,,42.547778,-74.301667,ALY,NERFC,NY,New England Region,No,,0,0,0,0,FT,UNK,https://water.weather.gov/ahps2/hydrograph.php?wfo=aly&gage=hutn6,,Yes,,,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Schoharie,America/New_York
Acme,near,Hutchinson Creek,HUTW1,River Stage/Flow Location,,48.724444,-122.152222,SEW,NWRFC,WA,Pacific Northwest Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=sew&gage=hutw1,HGIRG,Yes,0 Feet,Data Point,No,No,Yes,Washington State Dept. of Ecology,No,No,N/A,N/A,N/A,,,,,,,Whatcom,America/Los_Angeles
Hunt,,,HUTW2,Precipitation Location,,38.282778,-81.4925,RLX,OHRFC,WV,Ohio Region,No,,0,0,0,0,FT,UNK,https://water.weather.gov/ahps2/hydrograph.php?wfo=rlx&gage=hutw2,,Yes,,,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Kanawha,America/New_York
Helena Valley Reservoir,at,Missouri River,HVDM8,River Stage/Flow Location,,46.638056,-111.882222,TFX,MBRFC,MT,Missouri Region,No,,3820,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tfx&gage=hvdm8,HPIRG,Yes,,Data Point,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,,0,,,,0 ft,Lewis and Clark,America/Denver
Harvard,at,East Branch Delaware River,HVDN6,River Stage/Flow Location,US01417500,42.024722,-75.120278,BGM,MARFC,NY,Mid Atlantic Region,No,1007.41 ft,7,10,12,15,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=bgm&gage=hvdn6,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,No,Yes,NAVD88,1006.86,1006.86 ft,1007.41 ft,,,Delaware,America/New_York
Harrisville,near,West Branch Oswegatchie River,HVLN6,River Stage/Flow Location,US04262500,44.185556,-75.331111,BTV,NERFC,NY,Great Lakes Region,No,738.51,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=btv&gage=hvln6,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,No,Yes,Yes,Yes,Yes,NAVD 1988,737.97,737.97,738.51,,,St. Lawrence,America/New_York
Havana (US 27),near,Ochlockonee River,HVNF1,River Stage/Flow Location,US02329000,30.553889,-84.384167,TAE,SERFC,FL,South Atlantic-Gulf Region,No,59.36 ft,20,26,31,35,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=hvnf1,HGIRG,Yes,13 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,,59.36,,59.36 ft,,,Leon,America/New_York
Haverhill,at,Merrimack River,HVRM3,River Stage/Flow Location,US01100693,42.772778,-71.083056,BOX,NERFC,MA,New England Region,No,,12,13,16,18,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=box&gage=hvrm3,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD29,0,-0.80,,,,Essex,America/New_York
Havre,at,Milk River,HVRM8,River Stage/Flow Location,US06140500,48.563611,-109.696111,TFX,MBRFC,MT,Missouri Region,No,2465.24 ft,9,10,15,18,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tfx&gage=hvrm8,HGIRG,Yes,-9999 Feet,High Water,Yes,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD29,2465.24,,2465.24 ft,,,Hill,America/Denver
Hoover,near,Wildhorse Creek,HVRO2,River Stage/Flow Location,US07329700,34.541474,-97.247244,OUN,ABRFC,OK,Arkansas-White-Red Region,No,798.30,20,25,27,29,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=oun&gage=hvro2,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,798.47,798.47,798.30,,,Garvin,America/Chicago
Harvey,above,Sheyenne River,HVYN8,River Stage/Flow Location,US05054500,47.702500,-99.948889,FGF,NCRFC,ND,Souris-Red-Rainy Region,No,1547.30 ft,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=fgf&gage=hvyn8,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,1548.6,1548.60 ft,1547.30 ft,,,Wells,America/Chicago
Howell Reservoir,near,Briggs Creek,HWBC1,River Stage/Flow Location,,37.187300,-122.02031,MTR,CNRFC,CA,California Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=hwbc1,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,SJW - San Jose Water,No,No,N/A,N/A,N/A,,,,,,,Santa Clara,America/Los_Angeles
Caribou (Route 1),near,Hardwood Brook,HWBM1,River Stage/Flow Location,US01017060,46.783611,-67.989167,CAR,ABRFC,ME,New England Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=car&gage=hwbm1,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NAVD88,486.7,486.700,,,,Aroostook,America/New_York
Birney (Closed Gauge),near,Hanging Woman Creek,HWCM8,River Stage/Flow Location,US06307600,45.299167,-106.507778,BYZ,MBRFC,MT,Missouri Region,No,3150.0,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=byz&gage=hwcm8,HGIRG,No,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD 1988,3150,,3150.0,,,Rosebud,America/Denver
Howard Creek at White Sulphur Springs,at,Howard Creek,HWCW2,River Stage/Flow Location,US03182900,37.793330,-80.304444,RNK,OHRFC,WV,Ohio Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rnk&gage=hwcw2,HGIRZ,Yes,-9999 Feet,Data Point,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Greenbrier,America/New_York
Hawarden,above,Big Sioux River,HWDI4,River Stage/Flow Location,US06483950,43.051389,-96.489444,FSD,MBRFC,IA,Missouri Region,No,,18.5,20.5,24,27,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=fsd&gage=hwdi4,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,1150,1150.00,,,,Sioux,America/Chicago
